CREATION_DATE,OBJECT_ID,PERIAPSIS,OBJECT_TYPE,RCS_SIZE,COUNTRY_CODE,LAUNCH_DATE,SITE
2021-11-01T04:58:37,1975-052KX,1088.8,DEBRIS,SMALL,STATI UNITI,1975,AFWTR
2021-10-31T18:07:15,1975-052KY,1013.39.00,DEBRIS,SMALL,STATI UNITI,1975,AFWTR
2021-11-01T06:36:11,1975-052KZ,1068.59.00,DEBRIS,SMALL,STATI UNITI,1975,AFWTR
2021-10-31T18:07:15,1975-052LA,1096.09.00,DEBRIS,SMALL,STATI UNITI,1975,AFWTR
2021-10-30T18:17:17,1975-052LB,1100.59.00,DEBRIS,SMALL,STATI UNITI,1975,AFWTR
2021-10-31T22:16:10,1975-124C,855.48.00,DEBRIS,SMALL,EX USSR,1975,PKMTR
2021-11-01T04:58:37,1992-072K,938.11.00,DEBRIS,MEDIUM,FRANCIA,1992,FRANCIAGUI
2021-10-30T18:17:17,1992-058E,229.11.00,DEBRIS,SMALL,STATI UNITI,1992,AFETR
2021-11-01T14:46:11,2001-025A,35783.49.00,PAYLOAD,LARGE,SEYCHELLES,2001,TTMTR
2021-10-31T18:07:15,2001-025C,7762.37.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-10-30T18:17:17,2001-026A,10578.11.00,PAYLOAD,LARGE,MESSICO,2001,AFETR
2021-10-31T14:26:17,2001-026B,9810.14.00,ROCKET BODY,LARGE,STATI UNITI,2001,AFETR
2021-11-01T06:46:11,1978-026HV,737.17.00,DEBRIS,SMALL,STATI UNITI,1978,AFWTR
2021-10-31T18:07:15,2001-029A,36027.23.00,PAYLOAD,LARGE,STATI IN EST/ SUD AFRICA,2001,FRANCIAGUI
2021-10-31T18:07:15,2001-031A,36089.25.00,PAYLOAD,LARGE,STATI UNITI,2001,AFETR
2021-11-01T04:58:37,2001-033A,35788.49.00,PAYLOAD,LARGE,STATI UNITI,2001,AFETR
2021-10-31T18:07:15,2001-033C,311.53.00,ROCKET BODY,LARGE,STATI UNITI,2001,AFETR
2021-10-31T18:07:15,2001-037A,35787.52.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-037D,35701.34.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-11-01T06:46:11,2001-038A,244.28.00,PAYLOAD,MEDIUM,GIAPPONE,2001,TNSTA
2021-11-01T04:58:37,2001-038B,285.18.00,ROCKET BODY,LARGE,GIAPPONE,2001,TNSTA
2021-11-01T04:58:37,2001-039A,35775.22.00,PAYLOAD,LARGE,INTELSAT,2001,FRANCIAGUI
2021-11-01T04:58:37,2001-039B,246.58.00,ROCKET BODY,LARGE,FRANCIA,2001,FRANCIAGUI
2021-11-01T04:58:37,1981-021Q,908.57.00,DEBRIS,SMALL,EX USSR,1981,TTMTR
2021-10-24T17:20:17,1980-085H,5829.02.00,DEBRIS,MEDIUM,EX USSR,1980,PKMTR
2021-11-01T14:46:11,1985-093C,837.23.00,DEBRIS,SMALL,STATI UNITI,1985,AFWTR
2021-10-31T18:07:15,1984-023H,1229.42.00,DEBRIS,MEDIUM,STATI IN EST/ SUD AFRICA,1984,FRANCIAGUI
2021-11-01T04:58:37,2001-042A,36266.38.00,PAYLOAD,LARGE,EUTELSAT,2001,FRANCIAGUI
2021-10-31T22:56:12,2001-043B,790.21.00,PAYLOAD,MEDIUM,STATI UNITI,2001,KODAK
2021-11-01T04:58:37,2001-043C,793.16.00,PAYLOAD,MEDIUM,STATI UNITI,2001,KODAK
2021-10-31T18:07:15,2001-043D,797.38.00,PAYLOAD,MEDIUM,STATI UNITI,2001,KODAK
2021-11-01T06:16:13,2001-045A,36446.46.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-045D,35689.56.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-11-01T06:56:12,2001-049A,514.04.00,PAYLOAD,LARGE,INDIA,2001,SRI
2021-11-01T06:46:11,2001-049B,529.37.00,PAYLOAD,MEDIUM,STATI IN EST/ SUD AFRICA,2001,SRI
2021-11-01T04:58:37,2001-049C,441.22.00,PAYLOAD,MEDIUM,GERMANIA,2001,SRI
2021-10-31T18:07:15,2001-049D,507.18.00,ROCKET BODY,LARGE,INDIA,2001,SRI
2021-11-01T04:58:37,1966-040M,1042.33.00,DEBRIS,SMALL,STATI UNITI,1966,AFWTR
2021-11-01T04:58:37,1977-047E,1861.47.00,DEBRIS,MEDIUM,EX USSR,1977,PKMTR
2021-11-01T14:46:11,1993-017E,226.27.00,DEBRIS,SMALL,STATI UNITI,1993,AFETR
2021-11-01T04:58:37,1993-016AJ,791.28.00,DEBRIS,SMALL,EX USSR,1993,TTMTR
2021-10-31T18:07:15,1978-066F,2184.03.00,DEBRIS,MEDIUM,EX USSR,1978,PKMTR
2021-11-01T04:58:37,1992-093JK,678.47.00,DEBRIS,SMALL,EX USSR,1992,TTMTR
2021-10-31T18:07:15,1987-020DU,1486.06.00,DEBRIS,SMALL,EX USSR,1987,PKMTR
2021-11-01T04:58:37,2001-052A,36069.17.00,PAYLOAD,LARGE,STATI UNITI,2001,FRANCIAGUI
2021-10-31T18:07:15,2001-053A,19119.11.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T14:46:11,2001-053B,19024.16.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-053C,19121.06.00,PAYLOAD,LARGE,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-053F,19055.34.00,ROCKET BODY,LARGE,EX USSR,2001,TTMTR
2021-11-01T04:58:37,2001-055A,1330.03.00,PAYLOAD,LARGE,STATI UNITI,2001,AFWTR
